SN,title,DOI,domain,year,authors,author_regions,abstract,keywords,cited_by_count,is_oa,oa_status,oa_url,openalex_countries,openalex_authors,umap_x,umap_y,umap_x_mpnet,umap_y_mpnet,umap_x_minilm,umap_y_minilm,umap_x_specter,umap_y_specter,umap_x3,umap_y3,umap_z3,umap_x3_mpnet,umap_y3_mpnet,umap_z3_mpnet,umap_x3_minilm,umap_y3_minilm,umap_z3_minilm,umap_x3_specter,umap_y3_specter,umap_z3_specter,cluster,cluster_label
128,Leveraging Large Language Models for Bias Detection and Mitigation in Data Analytics Models,https://doi.org/10.1109/iciccs65191.2025.10984507,LLMs & NLP,2025,Manideep Marripudugala,USA,"Bias in data analytics models presents significant challenges, leading to unfair outcomes and undermining trust in artificial intelligence systems. Traditional methods for bias detection often rely on statistical techniques that may not capture complex patterns embedded within data. This study proposes a novel approach utilizing Large Language Models (LLMs) to detect and mitigate bias in data analytics models. By harnessing the deep contextual understanding of LLMs, we aim to identify subtle biases that standard methods might overlook. We developed a framework where LLMs are employed to analyze both the input data and the outputs of predictive models to detect bias related to sensitive attributes such as race, gender, and age. The LLMs are fine-tuned on datasets annotated for bias-related features, enabling them to recognize and interpret nuanced patterns of discrimination. To validate our approach, we conducted experiments on real-world datasets, including the COMPAS dataset for criminal recidivism risk assessment and the Adult Income dataset from the UCI Machine Learning Repository. Our LLM-based method successfully identified biased predictions and provided insights into their origins. For instance, in the COMPAS dataset, the LLM detected disproportionate risk assessments against certain demographic groups. Upon applying our mitigation strategies, there was a notable improvement in the fairness metrics without compromising the overall model performance. The results demonstrate that LLMs can be powerful tools for enhancing the fairness of data analytics models. They offer a more comprehensive understanding of bias by considering contextual information that traditional statistical methods may miss. This research contributes to the field by providing an effective methodology for bias detection and mitigation, promoting the development of more equitable AI systems.",Computer science; Analytics; Data modeling; Data science; Data analysis; Data mining; Database,2,FALSE,closed,,USA,Manideep Marripudugala,6.66254,5.9158,6.66254,5.9158,7.88987,7.23087,7.04881,3.93132,2.05902,3.78176,3.34391,2.05902,3.78176,3.34391,4.29674,7.0604,-0.53177,3.83897,3.34562,3.21681,4,Psychology · Mathematics
129,ThaiSBi: A Thai Social Bias Dataset for Large Language Model,https://doi.org/10.1109/kst65016.2025.11003363,LLMs & NLP,2025,Waranrach Viriyavit; Pasinee Rukpromrach; Titapon Keawbua; Napas Jenpromrash; Thanadol Saelem; Sitthaa Phaholphinyo; Sarawoot Kongyoung,Thailand; Thailand; Thailand; Thailand; Thailand; Thailand; Thailand,"Large Language Models (LLMs) are revolutionizing various fields such education, business, and communication, with LLMs' ability to process data and provide complex answers. However, these technologies still face significant challenges, e.g., hallucinations, biases, and difficulties in understanding cultural and social contexts. Privacy and ethical concerns also require careful consideration. This study aims to address these issues by developing a set of comparative prompts designed to capture diverse perspectives across 67 demographic groups within Thai society, categorized into 15 groups. This approach highlights the importance of adopting culturally sensitive methods in AI development to mitigate risks associated with social biases. Therefore, we introduce ThaiSBi a curated dataset designed to assess and reduce social biases in LLMs within the Thai context. ThaiSBi provides a structured framework for evaluating LLM performance across various social dimensions, offering a deeper understanding of how these models interact with different groups. By incorporating these perspectives, ThaiSBi promotes the development of ethical and fair AI systems aligned with local cultural values. This research contributes to the creation of tools that prioritize fairness, safety, and equity in AI applications, supporting policy-making and social analysis in Thailand. The dataset is publicly available at https://github.com/9meo/thaisbi",Computer science; Natural language processing; Language model; Artificial intelligence,0,FALSE,closed,,Thailand; Thailand; Thailand; Thailand; Thailand; Thailand; Thailand,Waranrach Viriyavit; Pasinee Rukpromrach; Titapon Keawbua; Napas Jenpromrash; Thanadol Saelem; Sitthaa Phaholphinyo; Sarawoot Kongyoung,4.64076,7.68775,4.64076,7.68775,8.34104,6.15076,7.48797,3.68265,2.45419,3.56032,6.48932,2.45419,3.56032,6.48932,3.93887,6.26321,-0.54442,4.25662,3.10902,2.99025,5,Psychology · Natural language processing
130,Fairness in AI: Evaluating and Mitigating Bias in Decision-Making Models,https://doi.org/10.1109/cins67018.2025.11412070,LLMs & NLP,2025,Tejas Kambli; S. Divakara Shetty,United Arab Emirates; United Arab Emirates,"Artificial Intelligence (AI) has been at the forefront of technological progress in recent years, driving innovation across multiple domains, and has become an integral part of modern decision-making systems, influencing industries such as healthcare, finance, and criminal justice. In the banking sector, AI-powered models are widely used for credit risk assessment, fraud detection, and loan approvals streamlining financial decision-making and improving efficiency. However, concerns regarding fairness, transparency, and bias have emerged, as AI systems often inherit and amplify societal inequalities present in their training data. This can lead to discriminatory lending practices, disproportionately affecting marginalized communities by restricting access to financial services. Addressing bias in AI-driven financial models is critical to ensuring honest and fair access to credit, preventing systemic discrimination, and fostering trust in automated banking solutions. Integrating XAI frameworks, fairness metrics (e.g., Equalized Odds, Demographic Parity, Disparate Impact), and continuous model auditing will be essential in building responsible AI-driven financial ecosystems that align with ethical AI principles and regulatory compliance standards such as GDPR, the AI Act, and the Algorithmic Accountability Act. This study explores the sources of bias in AI, evaluates key fairness metrics, and examines various mitigation techniques such as reweighting, adversarial debiasing, and fairness-aware algorithms to develop a comprehensive framework for creating fair, accountable, and transparent AI systems in banking.",Accountability; Audit; Adversarial system; Key (lock); Financial services; Loan; Payment; Systemic risk,0,FALSE,closed,,United Arab Emirates; United Arab Emirates,Tejas Kambli; S. Divakara Shetty,6.44714,5.04494,6.44714,5.04494,5.00122,8.91038,6.75652,8.06286,2.5581,4.16263,2.34901,2.5581,4.16263,2.34901,7.04382,8.10022,0.46169,6.86496,7.7657,4.76679,4,Psychology · Mathematics
131,Quantifying and Mitigating Occupational Bias in Open-Source Large Language Models,https://doi.org/10.1109/bigdata66926.2025.11402061,LLMs & NLP,2025,Animesh Raj; Zayed Haque; K Shantha Kumari; P. Kanmani; Raghava Rao Mukkamala,India; India; India; India; Denmark,"Generative artificial intelligence has the potential to both exacerbate and ameliorate existing socioeconomic inequalities. In this article, we provide a state-of-the-art interdisciplinary overview of the potential impacts of generative AI on (mis)information and three information-intensive domains: work, education, and healthcare. Our goal is to highlight how generative AI could worsen existing inequalities while illuminating how AI may help mitigate pervasive social problems. In the information domain, generative AI can democratize content creation and access, but may dramatically expand the production and proliferation of misinformation. In the workplace, it can boost productivity and create new jobs, but the benefits will likely be distributed unevenly. In education, it offers personalized learning, but may widen the digital divide. In healthcare, it might improve diagnostics and accessibility, but could deepen pre-existing inequalities. In each section we cover a specific topic, evaluate existing research, identify critical gaps, and recommend research directions, including explicit trade-offs that complicate the derivation of a priori hypotheses. We conclude with a section highlighting the role of policymaking to maximize generative AI’s potential to reduce inequalities while mitigating its harmful effects. We discuss strengths and weaknesses of existing policy frameworks in the European Union, the United States, and the United Kingdom, observing that each fails to fully confront the socioeconomic challenges we have identified. We propose several concrete policies that could promote shared prosperity through the advancement of generative AI. This article emphasizes the need for interdisciplinary collaborations to understand and address the complex challenges of generative AI.",Measure (data warehouse); Identification (biology); Work (physics); Data collection,0,FALSE,closed,,India; India; India; India; Denmark,Animesh Raj; Zayed Haque; K Shantha Kumari; P. Kanmani; Raghava Rao Mukkamala,4.59153,5.60858,4.59153,5.60858,5.42456,8.09756,7.06839,5.8961,3.80712,4.93893,3.27403,3.80712,4.93893,3.27403,6.622,7.1875,-0.15376,4.86201,6.08899,2.72953,4,Psychology · Mathematics
132,Exploring Bias Evaluation Techniques for Quantifying Large Language Model Biases,https://doi.org/10.1109/ialp61005.2023.10337300,LLMs & NLP,2023,Junheng He; Nankai Lin; Menglan Shen; Dong Zhou; Aimin Yang,China; China; China; China; China,"In recent years, there has been a surge in the adoption of large language models (LLMs) such as “ChatG PT” trained by OpenAI. These models have gained popularity due to their impressive performance in various real-world applications. However, research has shown that small pre-trained language models (PLMs) such as BERT exhibit biases, particularly gender bias, that mirror societal stereotypes. Given the shared architecture between LLMs and small PLMs like Transformer, there is concern that these biases may also exist in LLMs. Although some studies suggest the presence of biases in LLMs, there is no consensus on how these biases should be measured. This paper employs three internal bias metrics, namely SEAT, StereoSet, and CrowS Pairs, to evaluate nine bias involving gender, age, race, occupation, nationality, religion, sexual orientation, physical appearance and disability in five open source LLMs (Llama, Llama2, Alpaca, Vicuna, and MPT), thereby determining their specific bias level. The experimental results demonstrate varying degrees of bias within these LLMs, with some models displaying high levels of bias that could potentially lead to harm in specific domains. Interestingly, we also discover that despite their larger architectures and greater number of parameters compared to small PLMs like BERT, these LLMs exhibit a lower level of bias. We posit that the inclusion of fairness considerations during the pre-training phase of these Language Model-based Learners (LLMs) is the primary contributing factor. This involves prioritizing the use of “fair” corpora while constructing the training data, and our experimental findings confirm the effectiveness of such an approach. Finally, by identifying the presence and measuring the specific level of bias, we contribute to the ongoing discourse on the mitigation of bias and the responsible usage of LLMs in various applications.",Computer science; Language model; Natural language processing; Artificial intelligence,4,FALSE,closed,,China; China; China; China; China,Junheng He; Nankai Lin; Menglan Shen; Dong Zhou; Aimin Yang,5.32757,8.07918,5.32757,8.07918,8.18847,5.82541,7.2387,3.16775,2.72688,3.03197,6.17518,2.72688,3.03197,6.17518,3.73719,5.81948,-0.99112,3.81631,2.98881,2.74713,5,Psychology · Natural language processing
133,Mitigating Bias in Large Language Models Through Culturally-Relevant LLMs,https://doi.org/10.1109/ethics65148.2025.11098204,LLMs & NLP,2025,Malur Narayan; John Pasmore; Elton Sampaio; Raghavan Vijay; Sayan Maity; Gabriella Waters; Ayanna Howard,China; USA; USA; USA; USA; USA,"With the proliferation of Large Language Models (LLMs) and its use across sectors that impact our civil liberties, the biases present in these language-based applications can propagate and amplify social inequalities and harmful stereotypes. In particular, racial and cultural biases in LLMs not only undermine the fairness and reliability of these systems, but also pose significant ethical concerns, further affecting marginalized communities. To address these concerns, this paper discusses the development of a LLM for mitigating bias through the integration of diverse data sources and culturally relevant material that has often been overlooked in the construction of mainstream AI models. We compare the performance of ChatGPT 3.5 and the LLM, which was incrementally trained on Black history and culture, when tasked with answering a set of prompts that cover a range of news topics. Using a bias assessment score, we assessed each model's ability to handle the task without introducing racial or cultural biases into the news topic summaries. Through empirical studies, our approach not only demonstrates the feasibility of detecting and measuring racial and cultural biases but also offers a scalable solution for creating more equitable and reliable AI technologies.",Computer science,1,FALSE,closed,,China; USA; ; USA; USA; USA; USA,Malur Narayan; John Pasmore; Elton Sampaio; Raghavan Vijay; Sayan Maity; Gabriella Waters; Ayanna Howard,4.8436,7.78614,4.8436,7.78614,8.26012,6.12088,7.76564,3.46283,2.38402,3.44616,6.50741,2.38402,3.44616,6.50741,3.90456,6.21823,-0.6172,4.32972,2.91364,2.74656,5,Psychology · Natural language processing
134,Probing into the Fairness of Large Language Models: A Case Study of ChatGPT,https://doi.org/10.1109/ciss59072.2024.10480206,LLMs & NLP,2024,Yunqi Li; Lanjing Zhang; Yongfeng Zhang,USA; USA; USA,"Understanding and addressing unfairness in LLMs are crucial for responsible AI deployment. However, there is a limited number of quantitative analyses and in-depth studies regarding fairness evaluations in LLMs, especially when applying LLMs to high-stakes fields. This work aims to fill this gap by providing a systematic evaluation of the effectiveness and fairness of LLMs using ChatGPT as a study case. We focus on assessing ChatGPT’s performance in high-takes fields including education, criminology, finance and healthcare. To conduct a thorough evaluation, we consider both group fairness and individual fairness metrics. We also observe the disparities in ChatGPT’s outputs under a set of biased or unbiased prompts. This work contributes to a deeper understanding of LLMs’ fairness performance, facilitates bias mitigation and fosters the development of responsible AI systems. Code and data are open-sourced on GitHub <sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">1</sup> .",Computer science; Natural language processing,5,FALSE,closed,,USA; USA; USA,Yunqi Li; Lanjing Zhang; Yongfeng Zhang,5.97867,5.30849,5.97867,5.30849,6.87069,7.45024,7.26886,5.23756,2.74937,4.21588,2.83029,2.74937,4.21588,2.83029,5.43602,7.08503,-0.76542,4.90666,4.59442,2.65145,4,Psychology · Mathematics
135,Leveraging Multiple LLM Evaluators for Scalable and Fair Language Model Assessments,https://doi.org/10.1109/icmctc62214.2025.11196295,LLMs & NLP,2025,Vincent Koc; Jamshaid Iqbal Janjua; Karan Alang; Sumeer Basha Peta,Malaysia; Pakistan; UK; USA,"With the increasing popularity of large language models (LLMs), the assessment of their outputs remains a persistent issue. LLMs are often evaluated by human evaluators, which leads to the middle evaluator bias. Single evaluator approaches produce reliable evaluations and the robustness of evaluations performed relying on a single evaluator is challenged. This paper proposes an automated evaluation method that incorporates multiple LLM evaluators to increase scalability and unjustified bias mitigation of model evaluations. This approached is resulted from combining models from different families to overcome the issues presented by single models evaluators such as bias, excessive computational resources, and generalization. Our approach is based on processing evaluation within a multi-evaluator framework in which score aggregation on a per evaluator basis is done, which utilizes lower cost to achieve higher accuracy and transparency in evaluations. We tested this model using several LLMs with common evaluation tasks and showed that this approach has outcomes applicable in practice.",Popularity; Scalability; Robustness (evolution); Transparency (behavior); Evaluation methods; Language model,33,FALSE,closed,,Malaysia; Pakistan; United Kingdom; USA,Vincent Koc; Jamshaid Iqbal Janjua; Karan Alang; Sumeer Basha Peta,5.15611,9.14384,5.15611,9.14384,7.17636,5.40015,7.60797,2.67316,3.61648,2.98497,5.94525,3.61648,2.98497,5.94525,4.45041,5.08108,-0.70213,3.78907,2.8511,2.37174,5,Psychology · Natural language processing
136,Emergent Biases in Large Language Models: A Critical Review of Taxonomy and Evaluations,https://doi.org/10.1109/cogmi67134.2025.00036,LLMs & NLP,2025,Shawn Ismail; Ramazan Aygün,USA; USA,"Artificial intelligence (AI) and machine learning (ML) algorithms are widely used throughout our economy in making decisions that have far-reaching impacts on employment, education, access to credit, and other areas. Initially considered neutral and fair, ML algorithms have recently been found increasingly biased, creating and perpetuating structural inequalities in society. With the rising concerns about algorithmic bias, a growing body of literature attempts to understand and resolve the issue of algorithmic bias. In this tutorial, we discuss five important aspects of algorithmic bias. We start with its definition and the notions of fairness policy makers, practitioners, and academic researchers have used and proposed. Next, we note the challenges in identifying and detecting algorithmic bias given the observed decision outcome, and we describe methods for bias detection. We then explain the potential sources of algorithmic bias and review several bias-correction methods. Finally, we discuss how agents’ strategic behavior may lead to biased societal outcomes, even when the algorithm itself is unbiased. We conclude by discussing open questions and future research directions.",Taxonomy (biology); Natural language,0,FALSE,closed,,USA; USA,Shawn Ismail; Ramazan Aygün,5.81657,4.76225,5.81657,4.76225,6.36279,9.09938,6.79886,9.39613,2.92781,4.52383,2.32804,2.92781,4.52383,2.32804,6.2946,8.35297,-0.87427,6.2847,7.55303,5.66868,4,Psychology · Mathematics
137,Bias Detection and Mitigation in Large Language Models for Code Generation,https://doi.org/10.1109/jiot.2025.3636829,LLMs & NLP,2025,Alexander I. Iliev; Deepshikha Singh; Sanjeeth Chittyala,Bulgaria; Germany; Germany,"Large Language Models (LLMs) are essential tools in modern software development, significantly accelerating coding, streamlining debugging, and enabling broader access to advanced algorithmic features. Their impact extends into emerging domains like the Internet of Things (IoT), where AI-generated code increasingly drives edge device behavior and smart system integration. However, LLMs often inherit and propagate biases present in their training data. These biases can surface in AI-generated code, leading to ethically problematic, algorithmically skewed, or even unsafe outcomes—particularly concerning in safety-critical and socially sensitive IoT environments. This research investigates bias in LLM-generated code and proposes a multi-faceted approach combining Contextual Code Analysis, Counterfactual Prompt Engineering, and Reinforcement Learning with Human Feedback (RLHF) to detect and mitigate such biases. We show how these techniques reveal hidden biases in naming conventions, decision logic, and coding patterns, and demonstrate how RLHF can reduce bias at scale while preserving functionality – achieving a 49% reduction. in bias across evaluated benchmarks. Our findings emphasize the need for rigorous bias evaluation frameworks, careful data curation, and transparent development workflows. The tradeoff between bias reduction and code precision is explored, with implications for the ethical use of AI in IoT systems and other high-stakes software contexts. Further research is encouraged in hybrid debiasing techniques, intersectional bias identification, energy-efficient modeling, and the development of standardized ethical coding practices.",Debiasing; Counterfactual thinking; Coding (social sciences); Software; Gender bias; Code (set theory); Enhanced Data Rates for GSM Evolution; The Internet,0,FALSE,closed,,Bulgaria; Germany; Germany,Alexander I. Iliev; Deepshikha Singh; Sanjeeth Chittyala,5.27482,7.74866,5.27482,7.74866,7.44169,6.07081,7.63054,5.50929,2.98945,3.60678,5.80684,2.98945,3.60678,5.80684,4.64557,5.64291,-1.02144,4.85405,4.82944,2.4625,5,Psychology · Natural language processing
138,Applying Prompt-Based Mitigation of Gender-Role Bias in Large Language Models for Security,https://doi.org/10.1109/cns66487.2025.11194978,LLMs & NLP,2025,K. Stein; Brandon Blackwell; Ernest Funue; Matthew Dees; Shari Watkins; Lanier Watkins,USA; USA; USA; USA; USA; USA,"As large language models (LLMs) become increasingly integrated into society, concerns over fairness and bias have emerged as critical areas of research. Prior research has demonstrated that LLMs often reflect stereotypes present in their training data, and while this is informative, systematic studies producing rigorous experiments and tangible measurements re-main limited. Furthermore, as LLMs are deployed in security-sensitive domains, such as industrial control systems (ICS), Internet-of- Things (loT) networks, and critical infrastructure, ex-ploring tangible, quantitative bias mitigation techniques becomes essential for real-time deployment. In this work, as a proof of concept, we apply our pipelines to 53 gender-neutral professional resume prompts to generally analyze how LLMs assign gender-specific attributes. Using these prompts, we implement four distinct mitigation pipelines: a Baseline with no intervention, In-Context Example prompting, Self-Evaluation and Regeneration, and Chain-of- Thought (CoT) reasoning. Furthermore, to quantify each pipeline, we introduce the Stereotype Alignment Rate (SAR) to quantify bias, defined as the percentage of outputs conforming to traditional gender stereotypes. Results across each experimental pipeline indicate an effective reduction in bias, lowering the SAR by up to 15% compared to the baseline. This work demonstrates that prompt engineering, particularly through the use of counter-stereotypical examples, can serve as an effective and lightweight method for mitigating bias in LLM outputs.",Work (physics); Pipeline (software); Baseline (sea); Control (management); Pipeline transport,0,FALSE,closed,,USA; USA; USA; USA; USA; USA,K. Stein; Brandon Blackwell; Ernest Funue; Matthew Dees; Shari Watkins; Lanier Watkins,4.49969,8.10009,4.49969,8.10009,7.61868,5.92792,7.62031,5.29365,2.91856,3.26986,6.83097,2.91856,3.26986,6.83097,3.59457,5.65333,-0.6059,4.78134,4.62055,2.44004,5,Psychology · Natural language processing
139,Behind the Words: Unmasking Bias Lurking in LLMs and Data,https://doi.org/10.1109/punecon67554.2025.11378839,LLMs & NLP,2025,Naina Dhingra; Gargi Kale; Harshada Chavan; Sandhya Arora,India,"This study examines hidden biases in large language models (LLMs). Three popular models-RoBERTa, BERT, and GPT-2-were evaluated using StereoSet, CrowS-Pairs, and Indian-BhED, datasets designed to expose biases. Our comparative analysis reveals clear variations in how these models encode and reproduce bias, underscoring the difficulty of mitigation. The results highlight the need for bias-aware evaluation. By contributing empirical evidence, this work advances the discussion on ethical AI and points to directions for building more responsible language technologies.",Work (physics); Empirical research; ENCODE; Language model; Variation (astronomy); Human language,0,FALSE,closed,,; ; ;,Naina Dhingra; Gargi Kale; Harshada Chavan; Sandhya Arora,5.13403,8.14331,5.13403,8.14331,8.13161,6.00683,7.46372,3.39273,2.94696,3.39456,6.12067,2.94696,3.39456,6.12067,3.75505,5.88503,-1.01532,4.16569,2.87201,2.64038,5,Psychology · Natural language processing
140,Deep Learning Approach for Evaluating Fairness in LLMs,https://doi.org/10.1109/setcom64758.2025.10932507,LLMs & NLP,2025,Laxmi Kumari; Shilpa Serasiya; Santosh Kumar Bharti,India,"Large Language Models (LLMs) are prone to bias that can be introduced in the dataset itself or in the training phase. This can make their output lacking in fairness and hinder certain discriminated groups on the basis of stereotypes that the LLM may have been fed with or learnt. In today’s day and age, LLMs are used to make major decisions and thus it is crucial to identify and remove such bias. In this paper, we have focused on identifying the bias present in medium-sized LLMs such as BERT, RoBERTA, DeBERTa and GPT-1 using bias evaluation metrics such as intrinsic and extrinsic. Both the metrics have been used and bias has been identified in the datasets that the LLMs are being trained on (intrinsic bias) as well as in the outputs of the LLMs for certain queries (extrinsic bias).",Computer science; Environmental economics; Economics,2,FALSE,closed,,; ; India,Laxmi Kumari; Shilpa Serasiya; Santosh Kumar Bharti,5.3202,8.60234,5.3202,8.60234,8.0971,5.8092,7.28127,2.8696,2.97276,3.10659,5.92596,2.97276,3.10659,5.92596,3.86237,5.69884,-0.96992,3.68895,2.82092,2.66866,5,Psychology · Natural language processing
141,Comparative Study of Large Language Model Evaluation Frameworks with a Focus on NLP vs LLM-As-A-Judge Metrics,https://doi.org/10.1109/sieds65500.2025.11021089,LLMs & NLP,2025,Afnan Alabdulwahab; Chloe Japic; Chao Le; Deepika Dubey; Bhadra Trivedi; John Hope; Patrick Stone; Sanjana Srivastava; Adam P. Tashman; Aidong Zhang,USA; USA; USA; USA; USA; USA; USA; USA; USA; USA,"As Large Language Models (LLMs) are increasingly deployed across industries, evaluating their performance remains a core challenge. In collaboration with Deloitte, this study compares traditional Natural Language Processing (NLP) metrics with the emerging LLM-as-a-Judge paradigm across tasks, including retrieval, response accuracy, toxicity, bias, hallucination, summarization, tone, and readability. Using models like Claude and both public and synthetic datasets, we conduct structured evaluations via API. Results show that LLM-as-a-Judge methods offer nuanced assessments but face self-referential bias and consistency issues, while traditional metrics remain transparent yet limited. We propose an evaluation playbook outlining tradeoffs and best-use scenarios to support standardized, responsible LLM assessment.",Computer science; Natural language processing; Focus (optics); Artificial intelligence; Language model; Programming language,2,FALSE,closed,,USA; USA; USA; USA; USA; USA; USA; USA; USA; USA,Afnan Alabdulwahab; Chloe Japic; Chao Le; Disha Dubey; Disha Trivedi; John Hope; Patrick Stone; Sanjana Srivastava; Adam P. Tashman; Aidong Zhang,5.21909,9.02781,5.21909,9.02781,7.19314,5.39108,7.73865,2.88397,3.57453,3.00311,5.94763,3.57453,3.00311,5.94763,4.4482,5.14164,-0.70691,3.96559,2.78507,2.32883,5,Psychology · Natural language processing
142,Auditing Demographic Bias in Mistral: An Open-Source LLM's Diagnostic Performance on the MedQA Benchmark,https://doi.org/10.1109/access.2026.3656396,LLMs & NLP,2026,Hosameldin O. A. Ahmed; Abdul Hamid Sadka,UK; UK,"The application of large language models (LLMs) within clinical decision-support frameworks is receiving growing research attention, yet their fairness and demographic robustness remain insufficiently understood. This study introduces MedQA-Demog, a purpose-built, label-invariant extension of the MedQA-USMLE benchmark, designed to enable systematic auditing of demographic bias in medical reasoning models. Using a deterministic augmentation framework, we generated 4,659 question-answer items that incorporated counterfactual variations in gender, race/ethnicity, and age, and validated them through automated integrity and balance checks. We evaluated the Mistral 7B-Instruct model under stochastic (temperature = 0.7) and deterministic (temperature = 0.0) inference rules via the Ollama local environment, applying Wilson's 95 % confidence intervals, χ²/<italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">z</i>-tests, McNemar’s paired analysis, and Cohen’s h effect sizes to quantify fairness. Across all demographic variants, diagnostic accuracy remained consistent (Δ < 0.04; p > 0.05), and all performance gaps fell within Minimal or Low Bias thresholds. Confusion-matrix and prediction-balance analyses revealed no systematic over- or under-prediction patterns, while power analysis confirmed that observed fluctuations were below the minimum detectable effect (≈ 0.057). A stratified robustness analysis further confirms that these fairness patterns persist across question difficulty levels and are not an artefact of uniformly limited performance. These findings demonstrate that open-weight, instruction-tuned LLMs can maintain demographic stability in clinical reasoning when evaluated through reproducible, controlled pipelines. This framework provides a practical foundation for bias evaluation in open clinical LLMs, supporting their ethical integration into digital health tools and clinical decision-support systems.",Robustness (evolution); Counterfactual thinking; Inference; Audit; Benchmark (surveying); Statistical power; Commit,0,TRUE,gold,https://doi.org/10.1109/access.2026.3656396,United Kingdom; United Kingdom,Hosameldin O. A. Ahmed; Abdul Hamid Sadka,1.7024,7.61039,1.7024,7.61039,4.44009,6.04475,6.26007,3.42095,6.37492,6.18398,4.70657,6.37492,6.18398,4.70657,6.18197,5.71887,1.69685,3.35612,3.88345,2.43844,3,Health care · Psychology
143,A Vision for Debiasing Confirmation Bias in Software Testing via LLM,https://doi.org/10.1109/esem64174.2025.00050,LLMs & NLP,2025,Iflaah Salman; Muhammad Waseem; Vladimir Mandić; Rasanjana Dhanushkha De Alwis,Finland; Finland; Serbia; Finland,"Background: Large language models (LLM) suffer from various forms of biases due to the biased datasets used to train the models. At the same time, human cognitive biases have an equal propensity to express themselves when using LLMs for software engineering tasks. Software testing is a critical phase of the software development life cycle. Confirmation bias is reported to have deteriorated software testing by designing more specification-consistent test cases compared to specificationinconsistent test cases. However, there is a lack of debiasing (mitigation) strategies in this regard. Aims: In this paper, first, we investigate whether the LLM model suffers from confirmation bias while performing software testing tasks. Second, we propose a vision of debasing confirmation bias in software testing via LLM. Method: We conducted an empirical study to detect confirmation bias by an LLM (ChatGPT4.0) in the design of functional test cases. Based on empirical findings, we used the analytical paradigm to design a multi-agent system. Results: We present a vision for debiasing confirmation bias in functional software testing by leveraging LLMs via a multi-agent approach. Conclusions: The proposed vision may improve the performance of LLMs in terms of reduced confirmation bias and serve as a debiasing technique for functional software testing.",Debiasing; Confirmation bias; Software; Cognitive bias; Test (biology); Empirical research; Software reliability testing,0,FALSE,closed,,Finland; Finland; Serbia; Finland,Iflaah Salman; Muhammad Waseem; Vladimir Mandić; Rasanjana Dhanushkha De Alwis,5.06462,8.51542,5.06462,8.51542,7.26224,6.3226,7.73753,5.602,3.02909,3.39464,5.91599,3.02909,3.39464,5.91599,4.66257,5.731,-0.96959,4.95492,4.87622,2.42991,5,Psychology · Natural language processing
144,Measuring and Mitigating Gender Entropy Bias in Large Language Models,https://doi.org/10.1109/icdmw69685.2025.00272,LLMs & NLP,2025,Sonal Prabhune; B. Padmanabhan; Kaushik Dutta,USA; UK; USA,"We investigate gender bias in the form of differences in information content in some of the popular LLMs and contribute a new benchmark dataset (released on HuggingFace) developed from real-world questions across four key domains in business and health contexts: education, jobs, personal financial management, and general health. Specifically, we introduce entropy bias, which we define as a discrepancy in the amount of information generated by an LLM in response to real questions users have asked. Grounded in authentic user questions and guided by quantitative metrics, our benchmark enables systematic and reproducible analysis of gender entropy biases in language model outputs, which we test using multiple LLMs. Our analyses (metric-based comparisons and “LLM-as-judge” evaluation) suggest that there is no significant bias in LLM responses for men and women at a category level. However, at a finer granularity (the individual question level) there are substantial differences in LLM responses for men and women in the majority of cases, which “cancel” each other out often due to some responses being better for males and vice versa. To address this, we suggest a simple debiasing approach that iteratively merges the responses for the two genders to produce a final result. Our approach demonstrates that a simple, prompt-based debiasing strategy can effectively debias LLM outputs, thus producing responses with higher information content than both gendered variants more than 77% of the cases, and consistently achieving a balanced integration in the remaining cases.",Entropy (arrow of time); Measure (data warehouse); Principle of maximum entropy; Bayesian probability,0,FALSE,closed,,USA; United Kingdom; USA,Sonal Prabhune; B. Padmanabhan; Kaushik Dutta,4.35479,7.9764,4.35479,7.9764,7.68661,5.74901,7.65813,5.03629,2.94818,3.19606,6.86524,2.94818,3.19606,6.86524,3.63096,5.65457,-0.42876,4.81457,4.41965,2.40046,5,Psychology · Natural language processing
