"SN","Paper Title","DOI","Authors","Author Regions","Affiliations","Year","Domain","Focus Region","Source","ORC ID"
"14","Sources of bias in artificial intelligence that perpetuate healthcare disparities—A global review","doi.org/10.1371/journal.pdig.0000022","Leo Anthony Celi; Jacqueline Cellini; Marie-Laure Charpignon; Edward Christopher Dee; Franck Dernoncourt; René Eber; William Mitchell; Lama Moukheiber; Julian Schirmer; Julia Situ; Joseph Alexander Paguio; Joel Park; Judy Gichoya Wawira; Seth Yao","USA; USA; USA; USA; USA; France; USA; USA; France; USA; USA; USA; USA; USA","Massachusetts Institute of Technology; Harvard University; Massachusetts Institute of Technology; Harvard University; Adobe Systems (United States); Montpellier Business School; Harvard University; Massachusetts General Hospital; Montpellier Business School; Massachusetts Institute of Technology; Einstein Medical Center Philadelphia; ; Emory University; Einstein Medical Center Philadelphia","2022","Health & Clinical AI","Global","Original","https://orcid.org/0000-0001-6712-6626; https://orcid.org/0000-0002-5031-3887; https://orcid.org/0000-0002-5786-2627; https://orcid.org/0000-0001-6119-0889; https://orcid.org/0000-0002-1119-1346; https://orcid.org/0000-0002-4347-0198; https://orcid.org/0000-0002-2122-6741; N/A; https://orcid.org/0000-0002-8842-4849; N/A; https://orcid.org/0000-0003-4054-5112; https://orcid.org/0000-0003-1319-6893; N/A; N/A; N/A"
"15","Analysis of Countries in Terms of Artificial Intelligence Technologies: PROMETHEE and GAIA Method Approach","doi.org/10.3390/su15054604","Gökhan Özkaya; Ayşe Demirhan","Turkey; Turkey","Yıldız Technical University; Yıldız Technical University","2022","General Fairness & Bias Mitigation","Global","Original","https://orcid.org/0000-0002-2267-6568; https://orcid.org/0000-0001-9227-9210"
"16","Evaluation and Mitigation of Racial Bias in Clinical Machine Learning Models: Scoping Review","doi.org/10.2196/36388","Jonathan Huang; Galal Galal; Mozziyar Etemadi; Mahesh Vaidyanathan","USA; USA; USA; USA","Northwestern University; Northwestern University; Northwestern University; Northwestern University","2022","Health & Clinical AI","USA","Original","https://orcid.org/0000-0002-3428-9952; https://orcid.org/0000-0003-3525-859X; https://orcid.org/0000-0002-6324-9220; https://orcid.org/0000-0003-4311-8896"
"17","Towards Debiasing Sentence Representations","doi.org/10.48550/arXiv.2007.08100","Paul Pu Liang; Irene Mengze Li; Emily Zheng; Yao Chong Lim; Ruslan Salakhutdinov; Louis-Philippe Morency","USA; USA; USA; USA; USA; USA","Carnegie Mellon University; Carnegie Mellon University; Carnegie Mellon University; Carnegie Mellon University; Carnegie Mellon University; Carnegie Mellon University","2020","LLMs & NLP","Global","Original","https://orcid.org/0000-0001-7768-3610; https://orcid.org/0000-0002-1851-5390; N/A; N/A; https://orcid.org/0000-0002-3752-2756; https://orcid.org/0000-0001-6376-7696"
"18","Algorithmic Bias in Autonomous Systems","doi.org/10.24963/ijcai.2017/654","David Danks; Alex John London","USA; USA","Carnegie Mellon University; Carnegie Mellon University","2017","General Fairness & Bias Mitigation","USA","Original","https://orcid.org/0000-0003-4541-5966; https://orcid.org/0000-0002-6450-0309"
"19","Meritocratic Fairness for Infinite and Contextual Bandits","doi.org/10.1145/3278721.3278764","Matthew Joseph; Michael Kearns; Jamie Morgenstern; Seth Neel; Aaron Roth","USA; USA; USA; USA; USA","University of Pennsylvania; University of Pennsylvania; University of Pennsylvania; University of Pennsylvania; University of Pennsylvania","2018","General Fairness & Bias Mitigation","USA","Original","N/A; https://orcid.org/0000-0001-7569-0147; https://orcid.org/0000-0003-3753-8405; N/A; https://orcid.org/0000-0002-0586-0515"
"20","Trustworthy AI: A Computational Perspective","doi.org/10.48550/arXiv.2107.06641","Haochen Liu; Yiqi Wang; Wenqi Fan; Xiaorui Liu; Yaxin Li; Shaili Jain; Yunhao Liu; Anil K. Jain; Jiliang Tang","USA; USA; Hong Kong; USA; USA; USA; China; USA; USA","Michigan State University; Michigan State University; The Hong Kong Polytechnic University; Michigan State University; Michigan State University; Twitter; Tsinghua University; Michigan State University; Michigan State University","2022","General Fairness & Bias Mitigation","Global","Original","https://orcid.org/0000-0002-1801-4879; https://orcid.org/0000-0002-3280-4607; N/A; https://orcid.org/0000-0002-8208-0651; https://orcid.org/0000-0003-0160-8950; https://orcid.org/0000-0002-9007-6169; https://orcid.org/0009-0008-9772-4991; https://orcid.org/0000-0002-6369-6995; https://orcid.org/0000-0001-7125-3898"
"21","A Survey on Datasets for Fairness-Aware ML","doi.org/10.48550/arXiv.2110.00530","Tai Le Quy; Arjun Roy; Vasileios Iosifidis; Wenbin Zhang; Eirini Ntoutsi","Germany; Germany; Germany; USA; Germany","Leibniz University Hannover; Leibniz University Hannover; Leibniz University Hannover; Carnegie Mellon University; Freie Universität Berlin","2021","General Fairness & Bias Mitigation","Global","Original","https://orcid.org/0000-0001-8512-5854; https://orcid.org/0000-0002-4279-9442; https://orcid.org/0000-0002-3005-4507; https://orcid.org/0000-0003-3024-5415; https://orcid.org/0000-0001-5729-1003"
"22","A Comprehensive Empirical Study of Bias Mitigation Methods for Machine Learning Classifiers","doi.org/10.48550/arXiv.2207.03277","Zhenpeng Chen; Jie M. Zhang; Federica Sarro; Mark Harman","United Kingdom; United Kingdom; United Kingdom; United Kingdom","University College London; King’s College London; University College London; University College London","2023","General Fairness & Bias Mitigation","United Kingdom","Original","https://orcid.org/0000-0002-4765-1893; https://orcid.org/0000-0003-0481-7264; https://orcid.org/0000-0002-9146-442X; https://orcid.org/0000-0002-5864-4488"
"23","Ignorance and Prejudice in Software Fairness","doi.org/10.1109/ICSE43902.2021.00129","Jie M. Zhang; Mark Harman","United Kingdom; United Kingdom","University College London; University College London","2021","General Fairness & Bias Mitigation","Global","Original","https://orcid.org/0000-0003-0481-7264; https://orcid.org/0000-0002-5864-4488"
"24","Removing Biased Data to Improve Fairness and Accuracy","doi.org/10.48550/arXiv.2102.03054","Sahil Verma; Michael D. Ernst; René Just","USA; USA; USA","University of Washington; University of Washington; University of Washington","2021","General Fairness & Bias Mitigation","Global","Original","https://orcid.org/0000-0001-7797-926X; https://orcid.org/0000-0001-9379-277X; https://orcid.org/0000-0002-5982-275X"
"25","FAIR MIXUP: Fairness via Interpolation","doi.org/10.48550/arXiv.2103.06503","Ching-Yao Chuang; Youssef Mroueh","USA; USA","Massachusetts Institute of Technology; IBM Research AI","2021","General Fairness & Bias Mitigation","Global","Original","N/A; https://orcid.org/0000-0001-8798-1267"
"26","Mitigating Unwanted Biases with Adversarial Learning","doi.org/10.48550/arXiv.1801.07593","Brian Hu Zhang; Blake Lemoine; Margaret Mitchell","USA; USA; USA","Stanford University; Google; Google","2018","General Fairness & Bias Mitigation","Global","Original","https://orcid.org/0000-0002-1267-0170; N/A; https://orcid.org/0000-0002-8053-6862"
"27","Black Box Fairness Testing of Machine Learning Models","doi.org/10.1145/3338906.3338937","Aniya Aggarwal; Pranay Lohia; Seema Nagar; Kuntal Dey; Diptikalyan Saha","India; India; India; India; India","IBM Research - India; IBM Research - India; IBM Research - India; IBM Research - India; IBM Research - India","2019","General Fairness & Bias Mitigation","Global","Original","https://orcid.org/0000-0001-8883-0030; N/A; N/A; https://orcid.org/0000-0001-6788-3168; https://orcid.org/0000-0002-1583-5479"
"28","MAAT: A Novel Ensemble Approach to Addressing Fairness and Performance Bugs for Machine Learning Software","doi.org/10.1145/3540250.3549093","Zhenpeng Chen; Jie M. Zhang; Federica Sarro; Mark Harman","United Kingdom; United Kingdom; United Kingdom; United Kingdom","University College London; King's College London; University College London; University College London","2023","General Fairness & Bias Mitigation","Global","Original","https://orcid.org/0000-0002-4765-1893; https://orcid.org/0000-0003-0481-7264; https://orcid.org/0000-0002-9146-442X; https://orcid.org/0000-0002-5864-4488"
"29","Fairea: A Model Behaviour Mutation Approach to Benchmarking Bias Mitigation Methods","doi.org/10.1145/3468264.3468565","Max Hort; Jie M. Zhang; Federica Sarro; Mark Harman","United Kingdom; United Kingdom; United Kingdom; United Kingdom","University College London; University College London; University College London; University College London","2021","General Fairness & Bias Mitigation","Global","Original","https://orcid.org/0000-0001-8684-5909; https://orcid.org/0000-0003-0481-7264; https://orcid.org/0000-0002-9146-442X; https://orcid.org/0000-0002-5864-4488"
"30","Machine Learning Fairness Notions: Bridging the Gap with Real-World Applications","doi.org/10.1016/j.ipm.2021.102642","Karima Makhlouf; Sami Zhioua; Catuscia Palamidessi","France; France; France","École Polytechnique; École Polytechnique; École Polytechnique","2021","General Fairness & Bias Mitigation","European","Original","https://orcid.org/0000-0001-6318-0713; https://orcid.org/0000-0003-2029-175X; https://orcid.org/0000-0003-4597-7002"
"31","A Survey on Bias and Fairness in Machine Learning","doi.org/10.48550/arXiv.1908.09635","Ninareh Mehrabi; Fred Morstatter; Nripsuta Ani Saxena; Kristina Lerman; Aram Galstyan","USA; USA; USA; USA; USA","USC Information Sciences Institute; USC Information Sciences Institute; USC Information Sciences Institute; USC Information Sciences Institute; USC Information Sciences Institute","2021","General Fairness & Bias Mitigation","USA","Original","https://orcid.org/0000-0002-2630-5297; N/A; N/A; N/A; N/A"
"32","A Review on Fairness in Machine Learning","doi.org/10.1145/3494672","Dana Pessach; Erez Shmueli","Israel; Israel","Tel Aviv University; Tel Aviv University","2022","General Fairness & Bias Mitigation","USA","Original","https://orcid.org/0000-0002-1806-0066; https://orcid.org/0000-0003-3193-5768"
"33","Fairness and Machine Learning: Limitations and Opportunities","","Solon Barocas; Moritz Hardt; Arvind Narayanan","USA; Germany; USA","Cornell University; Heinrich-Heine-Universität Düsseldorf; Princeton University","2023","General Fairness & Bias Mitigation","USA","Original","N/A; https://orcid.org/0009-0000-7694-3038; https://orcid.org/0000-0002-2870-6350"
"34","Reconciling Modern Machine Learning Practice and the Bias-Variance Trade-Off","doi.org/10.48550/arXiv.1812.11118","Mikhail Belkin; Daniel Hsu; Siyuan Ma; Soumik Mandal","USA; USA; USA; USA","The Ohio State University; Columbia University; The Ohio State University; The Ohio State University","2019","General Fairness & Bias Mitigation","Global","Original","https://orcid.org/0009-0005-8633-3926; https://orcid.org/0000-0002-3495-7113; https://orcid.org/0000-0002-9207-1062; https://orcid.org/0000-0003-3602-703X"
"35","Fairness-Driven Private Collaborative Machine Learning","doi.org/10.48550/arXiv.2109.14376","Luca Oneto; Silvia Chiappa","Italy; United Kingdom","Tel-Aviv University; The Open University; Tel-Aviv University","2021","General Fairness & Bias Mitigation","Global","Original","https://orcid.org/0000-0002-8445-395X; N/A"
"36","Fairness in Machine Learning","doi.org/10.1007/978-3-030-43883-8_7","Zuohui Fu; Yikun Xian; Ruoyuan Gao; Jieyu Zhao; Qiaoying Huang; Yingqiang Ge; Shuyuan Xu; Shijie Geng; Chirag Shah; Yongfeng Zhang; Gerard de Melo","USA; USA; USA; USA; USA; USA; USA; USA; USA; USA; USA","University of Genoa; DeepMind (United Kingdom)","2020","General Fairness & Bias Mitigation","Global","Original","https://orcid.org/0000-0002-8445-395X; https://orcid.org/0000-0002-1882-6842"
"37","Fairness-Aware Explainable Recommendation over Knowledge Graphs","doi.org/10.1145/3397271.3401051","Zuohui Fu; Yikun Xian; Ruoyuan Gao; Jieyu Zhao; Qiaoying Huang; Yingqiang Ge; Shuyuan Xu; Shijie Geng; Chirag Shah; Yongfeng Zhang; Gerard de Melo","USA; USA; USA; USA; USA; USA; USA; USA; USA; USA; USA","Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey; University of California, Los Angeles; Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey; University of Washington; Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey","2020","Recommender Systems","Global","Original","https://orcid.org/0000-0002-3881-7935; N/A; https://orcid.org/0000-0002-8784-4171; https://orcid.org/0000-0002-1013-557X; N/A; https://orcid.org/0000-0002-3736-2377; https://orcid.org/0000-0003-0865-5223; N/A; https://orcid.org/0000-0002-3797-4293; https://orcid.org/0000-0003-2633-8555; https://orcid.org/0000-0002-2930-2059"
"38","Big Data's Disparate Impact","doi.org/10.2139/ssrn.2477899","Solon Barocas; Andrew D. Selbst","USA; USA","Microsoft Research Cornell University; UCLA School of Law","2016","General Fairness & Bias Mitigation","USA","Original","https://orcid.org/0000-0003-4577-466X; N/A"
"39","Men Also Like Shopping: Reducing Gender Bias Amplification Using Corpus-Level Constraints","doi.org/10.48550/arXiv.1707.09457","Jieyu Zhao; Tianlu Wang; Mark Yatskar; Vicente Ordóñez; Kai-Wei Chang","USA; USA; USA; USA; USA","University of Virginia; University of Virginia; University of Washington; University of Virginia; University of Virginia","2017","LLMs & NLP","Global","Original","https://orcid.org/0000-0002-1013-557X; https://orcid.org/0000-0002-7480-9705; N/A; N/A; https://orcid.org/0000-0001-5365-0072"
"40","Certifying and Removing Disparate Impact","doi.org/10.1145/2783258.2783311","Michael Feldman; Sorelle A. Friedler; John Moeller; Carlos Scheidegger; Suresh Venkatasubramanian","USA; USA; USA; USA; USA","Haverford College; Haverford College; University of Utah; University of Arizona; University of Utah","2015","General Fairness & Bias Mitigation","USA","Original","https://orcid.org/0000-0002-4131-2161; https://orcid.org/0000-0001-6023-1597; https://orcid.org/0000-0001-8340-5166; https://orcid.org/0009-0006-9163-6136; https://orcid.org/0000-0001-7679-7130"
"41","Integrating Behavioral Economic and Technical Insights to Address Algorithmic Bias","doi.org/10.1145/3519420","Gediminas Adomavičius; Mochen Yang","USA; USA","University of Minnesota; University of Minnesota","2022","General Fairness & Bias Mitigation","USA","Original","https://orcid.org/0000-0001-5251-5098; https://orcid.org/0000-0001-5101-9041"
"42","Fairness in Recommendation: Foundations Methods and Applications","doi.org/10.1145/3610302","Yunqi Li; Hanxiong Chen; Shuyuan Xu; Yingqiang Ge; Juntao Tan; Shuchang Liu; Yongfeng Zhang","USA; USA; USA; USA; USA; USA; USA","Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey","2023","Recommender Systems","USA","Original","https://orcid.org/0000-0002-9482-9922; https://orcid.org/0000-0002-3854-2732; https://orcid.org/0000-0003-0865-5223; https://orcid.org/0000-0002-3736-2377; https://orcid.org/0000-0003-3646-933X; https://orcid.org/0000-0002-1440-911X; https://orcid.org/0000-0003-2633-8555"
"43","A Survey on Trustworthy Recommender Systems","doi.org/10.1145/3652891","Yingqiang Ge; Shuchang Liu; Zuohui Fu; Juntao Tan; Zelong Li; Shuyuan Xu; Yunqi Li; Yikun Xian; Yongfeng Zhang","USA; USA; USA; USA; USA; USA; USA; USA; USA","Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey","2024","Recommender Systems","Global","Original","https://orcid.org/0000-0002-3736-2377; https://orcid.org/0000-0002-1440-911X; https://orcid.org/0000-0002-3881-7935; https://orcid.org/0000-0003-3646-933X; https://orcid.org/0000-0002-3110-4481; https://orcid.org/0000-0003-0865-5223; https://orcid.org/0000-0002-9482-9922; N/A; https://orcid.org/0000-0003-2633-8555"
"44","A Comprehensive Survey on Trustworthy Recommender Systems","doi.org/10.48550/arXiv.2209.10117","Wenqi Fan; Xiangyu Zhao; Xiao Chen; Jingran Su; Jingtong Gao; Lin Wang; Qidong Liu; Yiqi Wang; Xu Han; Lei Chen; Qing Li","Hong Kong; Hong Kong; Hong Kong; Hong Kong; Hong Kong; Hong Kong; Hong Kong; USA; USA; Hong Kong; Hong Kong","The Hong Kong Polytechnic University;
City University of Hong Kong; The Hong Kong Polytechnic University; The Hong Kong Polytechnic University; City University of Hong Kong;
The Hong Kong Polytechnic University;City University of Hong Kong; Michigan State University; Michigan State University;The Hong Kong University of Science and Technology;The Hong Kong Polytechnic University","2022","Recommender Systems","Global","Original","N/A; https://orcid.org/0000-0003-2926-4416; https://orcid.org/0000-0002-3290-507X; https://orcid.org/0000-0002-9873-1770; https://orcid.org/0000-0002-4470-5972; https://orcid.org/0000-0001-7181-6128; https://orcid.org/0000-0002-0751-2602; https://orcid.org/0000-0002-9657-3617; https://orcid.org/0000-0002-8967-4372; https://orcid.org/0000-0002-8257-5806; https://orcid.org/0000-0003-3370-471X"
"45","Towards Personalized Fairness Based on Causal Notion","doi.org/10.1145/3404835.3462966","Yunqi Li; Hanxiong Chen; Shuyuan Xu; Yingqiang Ge; Yongfeng Zhang","USA; USA; USA; USA; USA","Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey","2021","Recommender Systems","Global","Original","https://orcid.org/0000-0002-9482-9922; https://orcid.org/0000-0002-3854-2732; https://orcid.org/0000-0003-0865-5223; https://orcid.org/0000-0002-3736-2377; https://orcid.org/0000-0003-2633-8555"
"46","Explainable Recommender Systems with Knowledge Graphs and Language Models","doi.org/10.1007/978-3-031-56069-9_46","Giacomo Balloccu; Ludovico Boratto; Gianni Fenu; Francesca Maridina Malloci; Mirko Marras","Italy; Italy; Italy; Italy; Italy","University of Cagliari; University of Cagliari; University of Cagliari; University of Cagliari; University of Cagliari","2024","Recommender Systems","Global","Original","https://orcid.org/0000-0002-6857-7709; https://orcid.org/0000-0002-6053-3015; https://orcid.org/0000-0003-4668-2476; https://orcid.org/0000-0003-3287-4450; https://orcid.org/0000-0003-1989-6057"
"47","Knowledge Graphs and Explainable AI in Healthcare","doi.org/10.3390/info13100459","Enayat Rajabi; Somayeh Kafaie","Canada; Canada","Cape Breton University; Saint Mary's University","2022","Health & Clinical AI","Global","Original","https://orcid.org/0000-0002-9557-0043; https://orcid.org/0000-0002-5685-6487"
"48","Constructing Knowledge Graphs and Their Biomedical Applications","doi.org/10.1016/j.csbj.2020.05.017","David N. Nicholson; Casey S. Greene","USA; USA","Translational Therapeutics (United States); Translational Therapeutics (United States)","2020","Health & Clinical AI","Global","Original","https://orcid.org/0000-0003-0002-5761; https://orcid.org/0000-0001-8713-9213"
